id,Station ID,area,perimeter,CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,B19013001,calculated areas
"0","1",15164894.247381,14925.757219,"271","3",Brooklyn,"027100","3027100",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027100","4303",9428.07724880000,2660204.62183000008,"96016",71714.228
"0","1",15164894.247381,14925.757219,"272","3",Brooklyn,"027200","3027200",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027200","4311",7299.79762729000,1422363.35021999991,"64286",76275.413
"0","1",15164894.247381,14925.757219,"273","3",Brooklyn,"027300","3027300",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027300","4303",5273.31394926000,1611451.02047000010,"95735",30741.760
"0","1",15164894.247381,14925.757219,"274","3",Brooklyn,"027400","3027400",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027400","4311",6175.27619858000,1758627.16094000009,"51738",162563.415
"0","1",15164894.247381,14925.757219,"275","3",Brooklyn,"027500","3027500",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027500","4303",5390.78759809000,1743574.46279000002,"85466",109601.570
"0","1",15164894.247381,14925.757219,"276","3",Brooklyn,"027600","3027600",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027600","4311",6258.67839349000,1607864.54404999991,"60652",149375.034
"0","1",15164894.247381,14925.757219,"277","3",Brooklyn,"027700","3027700",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027700","4303",5391.76561111000,1745688.01554999989,"67926",23732.666
"0","1",15164894.247381,14925.757219,"278","3",Brooklyn,"027800","3027800",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027800","4311",6104.40787558000,1727742.16837000009,"66113",147495.474
"0","1",15164894.247381,14925.757219,"279","3",Brooklyn,"027900","3027900",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027900","4303",5389.74561138000,1743088.08862999990,"65433",560.060
"0","1",15164894.247381,14925.757219,"280","3",Brooklyn,"028000","3028000",,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028000","4311",6067.52343234000,1494252.23922000010,"84076",81158.343
"0","1",15164894.247381,14925.757219,"281","3",Brooklyn,"028100","3028100",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028100","4303",5389.33857657000,1743468.24279000005,"43176",47438.744
"0","1",15164894.247381,14925.757219,"282","3",Brooklyn,"028200","3028200",,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028200","4311",6197.33279793000,1811479.72949999990,"51646",100168.009
"0","1",15164894.247381,14925.757219,"283","3",Brooklyn,"028300","3028300",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028300","4303",4848.73849270000,1311680.66680000001,"43254",3115.112
"0","1",15164894.247381,14925.757219,"284","3",Brooklyn,"028400","3028400",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028400","4311",6096.04496465000,1768012.15535999998,"58373",55177.194
"0","1",15164894.247381,14925.757219,"286","3",Brooklyn,"028600","3028600",,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028600","4311",6444.43496258000,1904932.72347999993,"45918",61507.280
"0","1",15164894.247381,14925.757219,"287","3",Brooklyn,"028700","3028700",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028700","4303",5919.88469130000,1601115.38739000005,"58247",48604.850
"0","1",15164894.247381,14925.757219,"288","3",Brooklyn,"028800","3028800",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028800","4311",5777.68787813000,1644934.14158000005,"58000",1194.633
"0","1",15164894.247381,14925.757219,"291","3",Brooklyn,"029100","3029100",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029100","4303",5439.93909617000,1772059.56896999991,"101719",120894.613
"0","1",15164894.247381,14925.757219,"292","3",Brooklyn,"029200","3029200",,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029200","4311",7319.55478679000,2215329.95451000007,"45708",396.109
"0","1",15164894.247381,14925.757219,"293","3",Brooklyn,"029300","3029300",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029300","4303",5437.78557920000,1770060.69258000003,"52361",21142.422
"0","1",15164894.247381,14925.757219,"294","3",Brooklyn,"029400","3029400",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029400","4311",6602.82917976000,2032099.54374000011,"82784",32.478
"0","1",15164894.247381,14925.757219,"295","3",Brooklyn,"029500","3029500",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029500","4303",5437.79887322000,1771507.82944000000,"100750",35.900
"0","1",15164894.247381,14925.757219,"298","3",Brooklyn,"029800","3029800",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029800","4311",7431.07837928000,2379873.95979999984,"55214",23973.578
"0","1",15164894.247381,14925.757219,"299","3",Brooklyn,"029900","3029900",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029900","4303",5862.94685237000,1535625.10504000005,"66989",9139.365
"0","1",15164894.247381,14925.757219,"300","3",Brooklyn,"030000","3030000",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030000","4311",7243.13172098000,2099451.01067999983,"52279",76115.965
"0","1",15164894.247381,14925.757219,"301","3",Brooklyn,"030100","3030100",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047030100","4316",7472.43532951000,2097829.09676000010,"110938",192403.345
"0","1",15164894.247381,14925.757219,"302","3",Brooklyn,"030200","3030200",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030200","4311",6921.91439236000,2273119.84544999991,"83068",145099.857
