CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area
"179.01","2",Bronx,"017901","2017901",,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005017901","4204",3668.11664666000,825937.07461600006
"179.02","2",Bronx,"017902","2017902",,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005017902","4204",3696.53392974000,827548.28744099999
"181.01","2",Bronx,"018101","2018101",,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005018101","4204",4191.70042686000,831113.04392700002
"181.02","2",Bronx,"018102","2018102",,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005018102","4204",4351.40803114000,1040364.56018000003
"183.02","2",Bronx,"018302","2018302",,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005018302","4204",4627.75120226000,1208595.54425000004
"184","2",Bronx,"018400","2018400",,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005018400","4210",9097.85650266000,4814309.56575999968
"197","2",Bronx,"019700","2019700",,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005019700","4204",5397.63791863000,1592663.29435000010
"202","2",Bronx,"020200","2020200",,Westchester Square,BX1001,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005020200","4210",4746.74173249000,1343331.03343999991
"204","2",Bronx,"020400","2020400",,Westchester Square,BX1001,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005020400","4210",4796.30945383000,1447956.02327000001
"206.01","2",Bronx,"020601","2020601",,Westchester Square,BX1001,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005020601","4210",5642.62842186000,1629908.82089999993
"209","2",Bronx,"020900","2020900",,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005020900","4204",5187.86747929000,1429575.33477000007
"210.02","2",Bronx,"021002","2021002",,Parkchester,BX0904,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005021002","4209",6132.27981962000,1867344.60272999993
"213.01","2",Bronx,"021301","2021301",,University Heights (South)-Morris Heights,BX0501,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),"36005021301","4205",3825.33381238000,660910.22652999999
"213.02","2",Bronx,"021302","2021302",,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005021302","4204",5468.90564248000,1812687.53272000002
