CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,calculated,id,Station ID,area,perimeter,DepArea
"355","3",Brooklyn,"035500","3035500",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047035500","4309",5844.44173041000,1485518.38101999997,138009.690,"0","1",15164894.247381,14925.757219,214.129
"356.01","3",Brooklyn,"035601","3035601",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047035601","4313",3524.79850124000,719519.89185799996,66839.376,"0","1",15164894.247381,14925.757219,719458.643
"356.02","3",Brooklyn,"035602","3035602",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047035602","4313",5704.67059813000,1843967.13788999990,171314.428,"0","1",15164894.247381,14925.757219,1844028.387
"357.01","3",Brooklyn,"035701","3035701",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047035701","4308",3483.29842965000,750004.90264300001,69678.040,"0","1",15164894.247381,14925.757219,26488.780
"359","3",Brooklyn,"035900","3035900",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047035900","4308",6513.25352444000,1955169.23252000008,181641.968,"0","1",15164894.247381,14925.757219,1027906.079
"360.01","3",Brooklyn,"036001","3036001",,Brighton Beach,BK1303,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047036001","4313",4459.30348118000,1019097.09443000006,94666.078,"0","1",15164894.247381,14925.757219,1018985.950
"360.02","3",Brooklyn,"036002","3036002",,Brighton Beach,BK1303,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047036002","4313",3860.14796487000,924234.96306800004,85863.508,"0","1",15164894.247381,14925.757219,924234.963
"361","3",Brooklyn,"036100","3036100",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047036100","4316",6064.70032668000,1524420.50072999997,141623.910,"0","1",15164894.247381,14925.757219,1057209.032
"362","3",Brooklyn,"036200","3036200",,Brighton Beach,BK1303,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047036200","4313",6480.70701208000,1845171.64317999990,171420.647,"0","1",15164894.247381,14925.757219,1845171.643
"363","3",Brooklyn,"036300","3036300",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047036300","4316",8492.86799794000,2786930.30682000006,258915.488,"0","1",15164894.247381,14925.757219,999020.407
"364","3",Brooklyn,"036400","3036400",,Brighton Beach,BK1303,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047036400","4313",5980.18261914000,1539580.43809000007,143030.576,"0","1",15164894.247381,14925.757219,1539580.438
"365.01","3",Brooklyn,"036501","3036501",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047036501","4316",5469.27482219000,1367343.96445000009,127031.034,"0","1",15164894.247381,14925.757219,1367343.964
"369","3",Brooklyn,"036900","3036900",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047036900","4316",7215.25583312000,2433755.73915999988,226104.526,"0","1",15164894.247381,14925.757219,2433755.739
"370","3",Brooklyn,"037000","3037000",,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047037000","4313",7840.72231439000,3617885.98560999986,336110.375,"0","1",15164894.247381,14925.757219,1072246.663
"371","3",Brooklyn,"037100","3037100",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047037100","4316",5779.49232976000,2037041.34055999992,189248.366,"0","1",15164894.247381,14925.757219,2037041.341
"373","3",Brooklyn,"037300","3037300",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047037300","4316",6148.26942211000,1838509.74606000003,170804.141,"0","1",15164894.247381,14925.757219,1838509.746
"374.01","3",Brooklyn,"037401","3037401",,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047037401","4313",6927.20432775000,2422862.80439000018,225089.831,"0","1",15164894.247381,14925.757219,1477924.586
"374.02","3",Brooklyn,"037402","3037402",,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047037402","4313",7628.93511216000,3270016.08540000021,303792.366,"0","1",15164894.247381,14925.757219,3266488.623
"375","3",Brooklyn,"037500","3037500",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047037500","4303",5943.21051636000,1708659.74392000004,158740.668,"0","1",15164894.247381,14925.757219,1708659.744
"377","3",Brooklyn,"037700","3037700",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047037700","4303",5741.18179491000,2047553.74720999994,190225.080,"0","1",15164894.247381,14925.757219,2047553.747
"379","3",Brooklyn,"037900","3037900",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047037900","4303",5654.38099228000,1978231.31236000010,183784.709,"0","1",15164894.247381,14925.757219,1846390.010
"381","3",Brooklyn,"038100","3038100",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047038100","4303",6810.12093674000,2579146.09090999980,239615.948,"0","1",15164894.247381,14925.757219,248173.060
"382","3",Brooklyn,"038200","3038200",,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047038200","4313",6156.24413044000,2524535.31187999994,234535.584,"0","1",15164894.247381,14925.757219,2524535.312
